City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,tura,25.5198,90.2201,12.05,88,33,2.42,IN,1703029960
82,wanxian,30.8039,108.3897,5.65,83,37,0.45,CN,1703029960
83,hawaiian paradise park,19.5933,-154.9731,22.16,95,100,2.57,US,1703029960
84,ushuaia,-54.8,-68.3,13.81,67,75,6.69,AR,1703029806
85,hamilton,39.1834,-84.5333,0.99,66,0,2.06,US,1703029707
86,eydhafushi,5.1033,73.0708,28.2,79,47,7.17,MV,1703029960
87,bazarnyye mataki,54.8833,49.9333,0.59,98,100,9.89,RU,1703029960
88,morehead city,34.7229,-76.726,6.1,65,0,5.14,US,1703029772
89,gadzhiyevo,69.2551,33.3362,-10.89,93,100,0.49,RU,1703029961
90,tomatlan,19.9333,-105.25,25.43,72,9,1.95,MX,1703029961
91,freetown,8.484,-13.2299,26.84,78,27,2.57,SL,1703029961
92,paradip garh,20.3167,86.6167,14.25,45,59,2.88,IN,1703029961
93,salaqi,40.5414,110.5108,-23.8,93,7,2.99,CN,1703029961
94,kiskunhalas,46.434,19.4848,3.9,73,0,2.48,HU,1703029962
95,penzance,50.1186,-5.5371,9.38,73,14,11.49,GB,1703029962
96,cabedelo,-6.9811,-34.8339,26.37,84,98,4.75,BR,1703029962
97,port mathurin,-19.6833,63.4167,25.69,85,100,8.03,MU,1703029962
98,kremenets,50.0969,25.7246,4.41,66,93,6.55,UA,1703029962
99,saint-leu,-21.15,55.2833,25.48,93,96,2.64,RE,1703029963
100,aktyubinskiy,54.8137,52.8056,-2.5,95,100,11.1,RU,1703029963
101,lhasa,29.65,91.1,-2.97,40,0,1.62,CN,1703029963
102,chinde,26.8418,88.0763,9.24,76,54,2.61,NP,1703029963
103,al qubbah,32.7616,22.2424,8.76,82,58,4.32,LY,1703029963
104,port alfred,-33.5906,26.891,18.43,98,20,0.45,ZA,1703029963
105,lompoc,34.6391,-120.4579,18.23,90,100,4.12,US,1703029964
106,udachny,66.4167,112.4,-24.43,86,97,2.0,RU,1703029964
107,jwaneng,-24.6004,24.7303,23.31,62,56,2.35,BW,1703029964
108,keflavik,64.0049,-22.5624,1.24,80,100,6.17,IS,1703029922
109,sandnessjoen,66.0217,12.6316,3.06,56,40,3.09,NO,1703029965
110,al jawf,29.5,38.75,9.48,63,0,3.56,SA,1703029965
111,mityana,0.4175,32.0228,17.92,85,100,0.8,UG,1703029965
112,kattivakkam,13.2167,80.3167,25.05,66,93,5.43,IN,1703029966
113,san patricio,28.017,-97.5169,20.92,70,100,3.56,US,1703029966
114,bom jesus,-9.0744,-44.3586,23.28,86,91,2.13,BR,1703029966
115,nar'yan-mar,67.6713,53.087,-13.18,97,84,4.62,RU,1703029967
116,bengkulu,-3.8004,102.2655,24.02,88,88,1.3,ID,1703029967
117,mayqayyng,51.4625,75.7986,-5.57,86,100,5.3,KZ,1703029967
118,berezovyy,51.6667,135.7,-22.86,93,100,0.59,RU,1703029968
119,kruisfontein,-34.0033,24.7314,16.6,95,12,1.55,ZA,1703029968
120,san pedro,14.35,121.0167,27.42,84,75,3.13,PH,1703029968
121,katsuura,35.1333,140.3,11.2,66,97,4.14,JP,1703029968
122,susuman,62.7833,148.1667,-35.01,99,97,2.24,RU,1703029969
123,talnakh,69.4865,88.3972,-12.66,66,100,12.73,RU,1703029969
124,aldinga beach,-35.2793,138.4604,18.48,51,1,7.82,AU,1703029969
125,isafjordur,66.0755,-23.124,-6.71,73,100,3.91,IS,1703029970
126,nuku'alofa,-21.1333,-175.2,29.19,74,20,8.23,TO,1703029970
127,el porvenir,13.7617,-87.3458,21.63,65,14,3.64,HN,1703029970
128,hadibu,12.65,54.0333,24.44,81,12,5.75,YE,1703029970
129,georgiyevka,43.0369,74.7114,-0.98,100,100,1.0,KZ,1703029970
130,pisco,-13.7,-76.2167,22.03,83,0,8.75,PE,1703029971
131,copiapo,-27.3667,-70.3333,15.83,54,0,1.99,CL,1703029971
132,kununurra,-15.7667,128.7333,32.99,70,72,4.12,AU,1703029911
133,zhangjiakou shi xuanhua qu,40.6103,115.0447,-19.28,73,13,4.21,CN,1703029972
134,kapa'a,22.0752,-159.319,26.99,77,100,8.23,US,1703029972
135,pathein,16.7833,94.7333,19.89,75,46,2.28,MM,1703029972
136,macouria,4.9167,-52.3667,27.97,78,100,1.54,GF,1703029972
137,klyuchi,52.2667,79.1667,-8.27,92,100,3.8,RU,1703029972
138,lazaro cardenas,17.9583,-102.2,26.26,80,5,2.18,MX,1703029928
139,fale old settlement,-9.3852,-171.2468,29.14,75,64,3.21,TK,1703029973
140,banjar,-8.19,114.9675,26.81,67,11,3.35,ID,1703029973
141,qaqortoq,60.7167,-46.0333,2.75,100,100,4.41,GL,1703029974
142,enewetak,11.3474,162.3373,27.07,77,100,10.58,MH,1703029974
143,nevada,39.2502,-116.7512,4.5,62,100,3.21,US,1703029974
144,ust-nera,64.5667,143.2,-37.69,100,99,1.98,RU,1703029975
145,kenai,60.5544,-151.2583,-3.25,99,75,1.54,US,1703029975
146,dudinka,69.4058,86.1778,-12.43,76,100,13.41,RU,1703029975
147,nova vicosa,-17.8919,-39.3719,22.8,90,87,4.4,BR,1703029976
148,chonchi,-42.6128,-73.8092,22.56,80,1,0.18,CL,1703029923
149,scarborough,54.2797,-0.4044,7.59,83,84,3.13,GB,1703029301
150,sohbatpur,28.5202,68.5434,13.1,35,0,1.61,PK,1703029976
151,sitka,57.0531,-135.33,2.94,65,20,0.0,US,1703029977
152,severo-yeniseyskiy,60.3725,93.0408,-31.35,95,12,2.24,RU,1703029977
153,codrington,-38.2667,141.9667,14.85,54,70,7.21,AU,1703029977
154,la passe,45.5549,-0.8967,10.55,93,100,7.52,FR,1703029977
155,ribeira grande,38.5167,-28.7,16.54,81,100,5.81,PT,1703029926
156,port elizabeth,-33.918,25.5701,20.16,95,100,5.66,ZA,1703029977
157,anadyr,64.75,177.4833,-25.56,83,20,5.0,RU,1703029977
158,rongelap,11.1635,166.8941,27.21,77,85,9.64,MH,1703029978
159,alofi,-19.0595,-169.9187,29.94,70,75,8.23,NU,1703029978
160,dalandzadgad,43.5708,104.425,-23.39,88,8,6.35,MN,1703029978
161,kyren,51.6828,102.1408,-25.03,93,12,0.45,RU,1703029978
162,tan-tan,28.438,-11.1032,14.06,86,0,3.01,MA,1703029978
163,monte patria,-30.6919,-70.9467,21.98,39,0,2.6,CL,1703029978
164,cabo san lucas,22.8909,-109.9124,28.17,55,0,4.63,MX,1703029248
165,kill devil hills,36.0307,-75.676,6.1,53,0,2.57,US,1703029979
166,ciudad bolivar,8.1222,-63.5497,31.25,49,91,3.24,VE,1703029979
167,ashburton,-37.8626,145.0794,19.4,46,38,1.79,AU,1703029933
168,bilibino,68.0546,166.4372,-36.73,100,100,0.32,RU,1703029979
169,iskateley,67.6803,53.1512,-13.18,97,84,4.58,RU,1703029979
170,east london,-33.0153,27.9116,20.24,86,35,5.8,ZA,1703029980
171,verkhnevilyuysk,63.4453,120.3167,-24.36,93,97,3.01,RU,1703029980
172,al bawiti,28.3492,28.8659,13.75,68,99,3.32,EG,1703029980
173,brisas de zicatela,15.8369,-97.0419,23.76,73,0,1.22,MX,1703029980
174,i-n-salah,27.1935,2.4607,9.83,60,5,2.68,DZ,1703029980
175,sinjai,-5.1241,120.253,27.11,75,89,1.0,ID,1703029980
176,hithadhoo,-0.6,73.0833,27.9,77,72,2.82,MV,1703029923
177,mount isa,-20.7333,139.5,32.87,43,12,3.09,AU,1703029981
178,megion,61.0296,76.1136,-10.99,96,99,3.34,RU,1703029981
179,glubokoye,50.1456,82.3114,-6.14,53,100,6.0,KZ,1703029981
180,rumbek,6.802,29.6912,26.71,32,54,1.86,SS,1703029981
181,flying fish cove,-10.4217,105.6791,23.82,88,8,0.0,CX,1703029926
182,happy valley-goose bay,53.3168,-60.3315,7.17,81,100,4.63,CA,1703029981
183,dakhla,23.6848,-15.958,16.9,42,7,6.57,EH,1703029982
184,zanjan,36.6736,48.4787,1.06,79,34,1.48,IR,1703029982
185,mananara,-16.1667,49.7667,23.99,93,25,1.45,MG,1703029982
186,tiksi,71.6872,128.8694,-16.77,81,100,6.99,RU,1703029982
187,plastun,44.7561,136.2939,-19.52,62,1,5.61,RU,1703029982
188,okondja,-0.6549,13.6753,23.34,94,96,1.09,GA,1703029983
189,antigonish,45.6169,-61.9986,12.86,96,100,3.58,CA,1703029983
190,haiku-pauwela,20.9219,-156.3051,25.01,76,40,10.29,US,1703029983
191,cooper's town,26.8667,-77.5167,20.76,61,0,10.11,BS,1703029984
192,colchani,-20.3,-66.9333,15.28,14,14,6.79,BO,1703029984
193,ilulissat,69.2167,-51.1,-14.99,56,20,3.6,GL,1703029984
194,mingshui,36.7167,117.5,-18.29,87,10,1.63,CN,1703029984
195,akureyri,65.6835,-18.0878,-4.04,58,0,5.14,IS,1703029752
196,zaozersk,69.4005,32.4476,-9.28,95,100,2.2,RU,1703029985
197,lihue,21.9789,-159.3672,26.58,77,100,8.23,US,1703029985
198,el granada,37.5027,-122.4694,17.94,82,0,7.2,US,1703029985
199,belle fourche,44.6714,-103.8522,10.8,26,47,2.37,US,1703029809
200,saipan,15.1355,145.701,28.39,78,20,8.23,MP,1703029986
201,tupiza,-21.45,-65.7167,16.68,67,57,2.89,BO,1703029986
202,boende,-0.2167,20.8667,22.56,95,100,1.16,CD,1703029986
203,port hedland,-20.3167,118.5667,28.03,65,4,6.69,AU,1703029986
204,karratha,-20.7377,116.8463,25.97,61,3,5.61,AU,1703029986
205,kingston,17.997,-76.7936,26.53,70,75,7.2,JM,1703029638
206,badger,64.8,-147.5333,-14.45,85,75,3.6,US,1703029987
207,nuevo imperial,-13.0754,-76.3172,20.55,86,81,2.24,PE,1703029987
208,carnarvon,-24.8667,113.6333,23.6,77,9,2.22,AU,1703029987
209,juneau,58.3019,-134.4197,-1.99,95,100,0.0,US,1703029988
210,beloretsk,53.9631,58.3981,-14.69,100,100,1.77,RU,1703029988
211,whakatane,-37.9585,176.9854,24.38,79,13,1.79,NZ,1703029988
212,yerofey pavlovich,53.9667,121.9667,-25.4,87,96,1.58,RU,1703029988
213,kondopoga,62.2057,34.2614,0.96,89,95,6.7,RU,1703029988
214,coquimbo,-29.9533,-71.3436,16.85,67,0,5.66,CL,1703029396
215,walvis bay,-22.9575,14.5053,16.53,82,0,4.12,NA,1703029989
216,weno,7.4515,151.8468,28.97,74,75,3.6,FM,1703029989
217,saudarkrokur,65.7461,-19.6394,-7.13,82,83,4.78,IS,1703029989
218,thompson,55.7435,-97.8558,-20.91,77,20,2.57,CA,1703029927
219,ola,59.5833,151.2833,-25.15,89,32,4.61,RU,1703029989
220,bel ombre,-4.6167,55.4167,25.91,89,40,2.06,SC,1703029990
221,east ballina,-28.8667,153.5833,27.69,58,69,4.73,AU,1703029990
222,ciudad lazaro cardenas,17.9583,-102.2,26.51,78,4,2.24,MX,1703029990
223,college,64.8569,-147.8028,-14.4,83,75,3.6,US,1703029929
224,fortuna,40.5982,-124.1573,15.37,86,100,7.2,US,1703029990
225,berezovo,63.9381,65.0419,-18.43,99,87,2.95,RU,1703029990
226,acapulco de juarez,16.8634,-99.8901,28.9,65,40,2.57,MX,1703029768
227,la gi,10.6667,107.7833,25.55,77,97,1.77,VN,1703029991
228,al fuwayliq,26.4432,43.2534,11.63,40,0,3.72,SA,1703029991
229,trairi,-3.2778,-39.2689,26.45,83,98,3.12,BR,1703029991
230,shahjanpur,27.8833,79.9167,10.86,44,68,1.71,IN,1703029991
231,pizarro,4.9533,-77.366,25.99,90,100,1.59,CO,1703029992
232,nemuro,43.3236,145.575,-3.77,81,95,2.59,JP,1703029992
233,ceres,37.5949,-120.9577,18.87,88,75,5.66,US,1703029992
234,kailua-kona,19.6406,-155.9956,25.98,77,100,4.63,US,1703029924
235,smithers,54.7804,-127.1743,-0.82,100,100,0.0,CA,1703029992
236,urengoy,65.9667,78.3667,-12.54,93,100,7.8,RU,1703029992
237,quellon,-43.1167,-73.6167,15.03,74,10,0.67,CL,1703029922
238,pemangkat,1.1667,108.9667,26.44,84,86,1.52,ID,1703029995
239,laguna,38.421,-121.4238,18.36,78,75,6.69,US,1703029995
240,saint-philippe,-21.3585,55.7679,25.77,83,100,1.53,RE,1703029995
241,howrah,22.5892,88.3103,15.0,77,34,2.06,IN,1703029995
242,naryn,41.4287,75.9911,-11.23,71,68,2.96,KG,1703029995
243,vijapur,23.5667,72.75,15.9,33,100,3.41,IN,1703029996
244,filipstad,59.7124,14.1683,-2.09,99,35,1.57,SE,1703029996
245,baxter,46.3433,-94.2867,0.16,70,0,2.06,US,1703029996
246,opuwo,-18.0607,13.84,24.65,37,55,1.04,NA,1703029996
247,hermanus,-34.4187,19.2345,14.33,84,1,2.81,ZA,1703029928
248,tateyama,34.9833,139.8667,8.94,64,95,3.67,JP,1703029997
249,crane,31.3974,-102.3501,14.38,48,94,9.86,US,1703029997
250,orebro,59.2741,15.2066,1.54,100,0,3.6,SE,1703029997
251,indiantown,27.0273,-80.4856,16.08,80,1,5.76,US,1703029997
252,gebeit,21.0667,36.3167,18.44,88,18,2.25,SD,1703029997
253,lamu,-2.2717,40.902,26.12,88,65,3.75,KE,1703029997
254,ulladulla,-35.35,150.4667,15.43,98,100,2.65,AU,1703029888
255,tottori,35.5,134.2333,7.04,70,75,3.6,JP,1703029756
256,goksun,38.021,36.4973,1.8,74,8,1.92,TR,1703029998
257,fujin,47.26,132.0322,-27.68,98,31,2.97,CN,1703029998
258,castillos,-34.1667,-53.8333,17.53,72,95,4.24,UY,1703029998
259,puerto yuca,2.9383,-73.2083,24.62,91,63,1.52,CO,1703029998
260,armyansk,46.1092,33.6921,6.5,95,55,4.42,UA,1703029999
261,beyneu,45.3167,55.2,2.44,99,100,3.3,KZ,1703029999
262,san juan de miraflores,-12.1629,-76.9635,22.29,87,86,4.61,PE,1703029999
263,yellowknife,62.456,-114.3525,-22.47,83,76,4.47,CA,1703029844
264,island harbour,50.724,-1.2758,6.75,91,20,2.68,GB,1703029999
265,warrenton,-28.114,24.8475,24.75,13,24,2.29,ZA,1703030000
266,timbiqui,2.7717,-77.6654,24.82,94,93,1.85,CO,1703030000
267,vallenar,-28.5708,-70.7581,18.66,45,0,2.16,CL,1703030000
268,novo cruzeiro,-17.4681,-41.8753,18.02,99,92,0.56,BR,1703030000
269,healesville,-37.65,145.5167,19.18,36,13,3.41,AU,1703029849
270,baiyin,36.5583,104.2081,-10.9,60,1,0.89,CN,1703030000
271,lautoka,-17.6167,177.4667,28.92,74,75,3.6,FJ,1703030001
272,guarapari,-20.6667,-40.4975,24.02,86,34,2.35,BR,1703030001
273,atafu village,-8.5421,-172.5159,29.22,73,79,4.47,TK,1703030001
274,hilo,19.7297,-155.09,24.03,94,100,2.57,US,1703029767
275,mkushi,-13.6202,29.3939,19.68,90,99,1.26,ZM,1703030001
276,luderitz,-26.6481,15.1594,16.86,70,1,6.82,NA,1703030002
277,lijiang,26.8688,100.2207,-0.31,46,13,1.67,CN,1703030002
278,yuncheng,35.0231,110.9928,-6.92,58,87,2.42,CN,1703030002
279,lidkoping,58.5052,13.1577,3.01,92,68,6.84,SE,1703030002
280,fort st. john,56.2499,-120.8529,-6.06,93,100,3.6,CA,1703030002
281,buka,40.8108,69.1986,1.19,92,18,1.74,UZ,1703030002
282,vinton,37.281,-79.897,1.0,62,3,1.79,US,1703030003
283,ancud,-41.8697,-73.8203,14.64,74,2,0.88,CL,1703030003
284,bereket,39.2446,55.5154,2.94,76,0,4.32,TM,1703030003
285,hasaki,35.7333,140.8333,6.27,64,100,3.42,JP,1703030003
286,chinchilla,-26.75,150.6333,26.17,54,96,5.22,AU,1703030003
287,sinop,41.7711,34.8709,4.71,75,29,3.55,TR,1703030004
288,pointe michel,15.25,-61.3833,25.63,67,30,4.07,DM,1703030004
289,vadso,70.0744,29.7487,-4.91,86,100,5.14,NO,1703030004
290,palkonda,18.6,83.75,16.0,76,32,1.71,IN,1703030004
291,chos malal,-37.3781,-70.2709,12.84,74,93,2.37,AR,1703030005
